run_id,script,table,model,timestamp_utc,row_id,entity_id,reporting_year,prompt_tokens,completion_tokens,total_tokens,cost_usd,latency_s,status,error_msg
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:00,POLREF-ENT-UK-005-2021,ENT-UK-005,2021,470,317,787,0.000261,7.414,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:08,POLREF-ENT-UK-005-2022,ENT-UK-005,2022,470,328,798,0.000267,7.73,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:18,POLREF-ENT-UK-005-2023,ENT-UK-005,2023,470,350,820,0.00028,8.702,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:26,POLREF-ENT-UK-005-2024,ENT-UK-005,2024,487,390,877,0.000307,8.088,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:32,POLREF-ENT-ES-006-2019,ENT-ES-006,2019,461,298,759,0.000248,5.552,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:40,POLREF-ENT-ES-006-2020,ENT-ES-006,2020,461,310,771,0.000255,7.361,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:49,POLREF-ENT-ES-006-2021,ENT-ES-006,2021,461,307,768,0.000253,8.129,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:03:56,POLREF-ENT-ES-006-2022,ENT-ES-006,2022,461,294,755,0.000246,6.521,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:05,POLREF-ENT-ES-006-2023,ENT-ES-006,2023,461,378,839,0.000296,8.332,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:12,POLREF-ENT-ES-006-2024,ENT-ES-006,2024,478,307,785,0.000256,6.952,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:20,POLREF-ENT-IT-007-2019,ENT-IT-007,2019,463,388,851,0.000302,7.014,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:29,POLREF-ENT-IT-007-2020,ENT-IT-007,2020,463,390,853,0.000303,8.984,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:38,POLREF-ENT-IT-007-2021,ENT-IT-007,2021,463,322,785,0.000263,7.914,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:45,POLREF-ENT-IT-007-2022,ENT-IT-007,2022,463,325,788,0.000264,7.455,ok,
20260518T135916Z,generate_climate_policy_reference.py,climate_policy_reference,gpt-4o-mini,2026-05-18T14:04:52,POLREF-ENT-IT-007-2023,ENT-IT-007,2023,463,270,733,0.000231,6.398,ok,
